x,y
574.5500241547263,637.3699648788122
124.27713721965883,420.1098635420553
110.60073260316472,331.87837252238427
525.5543025843584,688.3040076261321
839.8365396920696,201.76329979809992
326.67487273171855,655.2024274718966
701.7913240714817,569.6609180152249
533.2086383466216,358.8007875506905
824.3765958781712,385.0582819359243
796.562401262099,556.5774855555626
428.3105983760714,823.5374106834106
803.5977439570516,855.9572690204251
276.4748588007937,727.120090489006
940.4334034946703,839.9455367834032
14.654708286853335,508.80292403212667
360.0519791763549,421.5721415781047
175.02029096364978,806.6172225669479
612.9793537856276,803.0966954400791
348.40358082782876,112.5573986946249
290.9810341334668,418.5283486267767
685.3561729553737,980.5777403504777
691.2202505262185,197.26985919986285
855.6853697064533,480.0136794425103
146.5076670509784,188.65623560830346
887.2347746793231,18.46438640248982
744.7389126694151,937.295952372774
890.9839110370215,820.0942933411699
247.57264890129628,942.6570573553793
319.70067345308195,671.4084489053143
772.9009023841704,613.4336463248405
426.605691687133,149.33676198652245
482.04596230968076,264.29716033809024
956.6408538873116,801.0551835337839
712.9799112429894,449.1862450203089
99.02228270859436,753.0587044364897
557.5076016637314,615.2645312276721
265.4666290345313,34.52951973796048
388.97302703596006,753.113793482051
406.0769433837248,595.0908402317775
700.6046753405049,148.3881008497313
745.6180178486932,553.088903385946
402.13684320257306,125.77379580770187
879.6871272394743,242.94054383693364
50.649678154934264,198.15631493238038
425.30346131773086,655.338772968574
746.5079431922297,668.9227144410103
987.0732141071621,39.88592407975911
674.2507349491594,700.8733413356127
178.32076252448158,788.1982180886907
453.5169404193664,442.8896325216033
470.8831111444899,631.3772908266344
583.6523281478575,711.8359726218112
658.2327092977166,689.8075261774252
65.38218384645556,54.95886307486675
717.2420805627664,158.35315079878964
975.2467315548238,488.04772764897996
72.07352301913362,596.0664350797441
280.179307773249,372.8734709507235
410.3430411159045,884.9500964662063
357.2608652218591,866.8954502269278
647.5387457621366,93.24250372431698
773.0602542691012,255.68249896336314
113.64121617679879,640.7660375688142
141.54177973312798,209.32286248849806
218.7030147484501,357.2475800683878
579.0432615601079,789.1252340815616
989.6900449808887,90.82214370080055
725.7901332892864,67.02238212628409
901.8917472355777,914.1705455673657
445.4692385911092,471.2677302962961
300.806214168873,239.06655290294265
651.6524726261138,306.1679526590081
276.5789330411375,11.24617139952544
933.0116133939242,238.0339960412191
452.7636777153985,718.2236321483558
548.9078025530758,739.4032083867659
317.6095833940761,213.28651871114468
460.7824327898686,990.0583908829826
831.1252118365971,694.6524978393669
303.0314002624842,237.92665443519923
761.5217614964229,696.1991440954473
165.92560330749816,761.4491266277299
793.8052982682972,124.61493427245706
588.6339479215226,672.9548738562154
892.6737529099221,645.5823733060384
550.4326647605184,222.55604091275106
848.4859893908625,49.06839427089083
953.5233783564983,899.4499325573775
724.4353010912293,638.5434508073871
626.3454923980548,765.6369234250346
689.4379056854507,253.32884864228257
424.6928087005156,764.596627427281
473.44989723751974,600.9936688431845
671.63789317302,470.9061436427814
751.3332688065645,421.4922919102306
381.328228981883,475.832809707176
832.695600105082,378.7828128844985
494.51422418847767,671.018089112332
691.2521097729598,922.379684226796
850.7426231770185,758.6436602531851
981.5485057142636,497.4124203433954
411.5519588796185,102.37546853992663
298.95668866577574,519.0105389250808
208.04748998804556,915.8668526757298
105.09617853280639,831.1679099530758
727.1679052718465,304.5318678954055
884.1875478082836,617.9866194851685
684.4559222171943,340.7305135142188
947.9031016948836,663.6647240712231
26.396597708644553,620.3189421189031
745.4409583965147,401.89399278751137
800.6379808764376,135.82853677408414
263.28735004129675,882.6270704306454
226.16357459730918,49.70100816834411
15.833969574253093,839.476513835517
938.2966430639685,368.79425197604445
794.5311358948933,138.9692664552602
521.5706249576534,889.733586674697
18.182733739787405,771.4035498814769
125.13940634679544,579.344547067445
158.45646322847762,709.5182128379308
60.99443120346992,15.573445750549197
119.12427067878673,506.8721339679548
234.96012442991733,750.2871803643549
453.23979066942735,96.71225087059887
762.7180933570714,760.1995301828726
56.71296557073069,192.97422928546825
124.06386068892073,655.9437098979623
237.08912070995225,130.59402172690403
164.95759647183817,556.4528634537118
7.661252587610745,904.5690725544522
